trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,5,9.2388189,9.2388189,0.0171625,[-0.3194444444444444],[0.39861111111111114],[1],[0],[0],[2.8478806999046355],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
1,0,1,0,10,12.0921383,12.0921383,0.0238936,[0.4888888888888889],[0.4638888888888889],[1],[0],[0],[2.8769176999339834],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
2,0,2,0,10,14.9948301,14.9948301,0.0228729,[-0.14583333333333334],[-0.1597222222222222],[1],[0],[0],[2.890127000049688],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
3,0,3,0,5,17.9050088,17.9050088,0.0116814,[0.37916666666666665],[-0.31805555555555554],[1],[0],[0],[2.536427399958484],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
4,0,4,0,10,20.4631466,20.4631466,0.0228639,[-0.015277777777777777],[-0.1875],[1],[0],[0],[2.606496399967],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
5,0,5,0,5,23.088088,23.088088,0.0106758,[0.15416666666666667],[0.35138888888888886],[1],[0],[0],[2.17148839996662],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
6,0,6,0,10,25.2772979,25.2772979,0.022982,[-0.1597222222222222],[-0.2388888888888889],[1],[0],[0],[2.657978900009766],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
7,0,7,0,10,27.9632693,27.9632693,0.0245018,[0.4013888888888889],[-0.4152777777777778],[1],[0],[0],[3.1708800999913365],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
8,0,8,0,10,31.1582754,31.1582754,0.022161,[0.225],[0.4444444444444444],[1],[0],[0],[2.478114499943331],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
9,0,9,0,5,33.6548679,33.6548679,0.0119939,[-0.27361111111111114],[0.48194444444444445],[1],[0],[0],[3.267800400033593],[],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
10,0,10,0,5,36.93771,36.93771,0.0129648,[-0.1388888888888889],[0.40694444444444444],[1],[0],[0],[2.1676131000276655],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
11,0,11,0,10,39.1276504,39.1276504,0.0217589,[0.3486111111111111],[-0.175],[1],[0],[0],[2.208689899998717],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
12,0,12,0,10,41.361015,41.361015,0.0219268,[0.4847222222222222],[-0.39166666666666666],[1],[0],[0],[2.0254989999812096],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
13,0,13,0,5,43.4047732,43.4047732,0.01197,[-0.12222222222222222],[0.2],[1],[0],[0],[2.2354473000159487],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
14,0,14,0,5,45.6545957,45.6545957,0.0115869,[-0.14722222222222223],[-0.39305555555555555],[1],[0],[0],[2.536464300006628],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
15,0,15,0,5,48.2042005,48.2042005,0.0125214,[-0.075],[-0.39166666666666666],[1],[0],[0],[1.9697710000909865],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
16,0,16,0,10,50.1950716,50.1950716,0.0217881,[-0.4013888888888889],[0.18472222222222223],[1],[0],[0],[2.4911814000224695],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
17,0,17,0,5,52.703935,52.703935,0.0116386,[-0.28194444444444444],[0.2791666666666667],[1],[0],[0],[1.3837208999320865],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
18,0,18,0,10,54.1084554,54.1084554,0.0214527,[0.4222222222222222],[-0.4041666666666667],[1],[0],[0],[3.294865599949844],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
19,0,19,0,5,57.4207739,57.4207739,0.0130243,[-0.35555555555555557],[0.1],[1],[0],[0],[1.9684035000391304],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
20,0,20,0,10,59.4074446,59.4074446,0.019346,[-0.19722222222222222],[0.1527777777777778],[1],[0],[0],[1.576364399981685],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
21,0,21,0,10,61.0105421,61.0105421,0.0222155,[0.24027777777777778],[-0.4097222222222222],[1],[0],[0],[2.092855100054294],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
22,0,22,0,5,63.1206868,63.1206868,0.0114368,[0.42083333333333334],[-0.4222222222222222],[1],[0],[0],[2.368614799925126],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
23,0,23,0,5,65.5042417,65.5042417,0.0121872,[-0.3125],[-0.2],[1],[0],[0],[2.384970200015232],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
24,0,24,0,10,67.910713,67.910713,0.0223177,[0.19583333333333333],[0.46805555555555556],[1],[0],[0],[4.440805300022475],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
25,0,25,0,10,72.3734217,72.3734217,0.0212068,[-0.2152777777777778],[0.35694444444444445],[1],[0],[0],[2.059738399926573],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
26,0,26,0,5,74.4542908,74.4542908,0.0119118,[0.46944444444444444],[0.4486111111111111],[1],[0],[0],[2.9856049999361858],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
27,0,27,0,10,77.4589528,77.4589528,0.0219793,[-0.26805555555555555],[0.2152777777777778],[1],[0],[0],[2.8596478999825194],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
28,0,28,0,5,80.3366843,80.3366843,0.0116324,[0.4152777777777778],[0.2708333333333333],[1],[0],[0],[2.0693397000432014],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
29,0,29,0,10,82.4269071,82.4269071,0.020625,[-0.1],[-0.12083333333333333],[1],[0],[0],[2.0926942999940366],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
30,0,30,0,10,84.5407829,84.5407829,0.0205342,[-0.14583333333333334],[0.2875],[1],[0],[0],[2.208561799954623],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
31,0,31,0,10,86.7746631,86.7746631,0.0218994,[0.09583333333333334],[-0.2152777777777778],[1],[0],[0],[2.0093716999981552],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
32,0,32,0,5,88.8036809,88.8036809,0.0130555,[0.325],[0.3902777777777778],[1],[0],[0],[1.9521202999167144],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
33,0,33,0,5,90.7705485,90.7705485,0.0117906,[-0.12361111111111112],[0.18055555555555555],[1],[0],[0],[2.1515769000397995],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
